,gym_id,level,spawn,start,end,pokemon_id,cp,move_1,move_2,last_scanned
0,0286ca0efb62481780795316aa2f0e43.16,3,2018-02-21 14:18:07,2018-02-21 15:18:07,2018-02-21 16:03:07,,,,,2018-02-21 14:34:36
1,0471fd54e26349cbb805a9e7ff4772b8.16,2,2018-02-21 09:25:05,2018-02-21 10:25:05,2018-02-21 11:10:05,87.0,9216.0,266.0,105.0,2018-02-21 11:08:30
2,0c6793e0753d4a91b4c5b5918d8a743f.11,1,2018-02-21 09:43:17,2018-02-21 10:43:17,2018-02-21 11:28:17,320.0,3369.0,230.0,131.0,2018-02-21 11:28:04
3,0fb1453c310f4595a7e79368dc0da069.16,3,2018-02-21 13:36:02,2018-02-21 14:36:02,2018-02-21 15:21:02,221.0,13663.0,244.0,95.0,2018-02-21 14:34:52
4,1082da773a3f4d30b5de4ded03d55422.16,1,2018-02-20 17:39:56,2018-02-20 18:39:56,2018-02-20 19:24:56,320.0,3369.0,230.0,131.0,2018-02-20 19:24:24
5,1c440df2f085444caa360d06a63e49a0.16,2,2018-02-21 10:03:18,2018-02-21 11:03:18,2018-02-21 11:48:18,91.0,15678.0,218.0,107.0,2018-02-21 11:08:28
6,2339f669b7b14ea9800b9df89eb46694.16,5,2018-02-21 09:28:15,2018-02-21 10:28:15,2018-02-21 11:13:15,384.0,45468.0,255.0,45.0,2018-02-21 11:12:39
7,241618fc3fd847eab588c938b9b03f25.16,2,2018-02-21 12:10:13,2018-02-21 13:10:13,2018-02-21 13:55:13,91.0,15678.0,217.0,254.0,2018-02-21 13:55:09
8,255644e5b50a42eca13c77250436029f.16,2,2018-02-21 11:11:55,2018-02-21 12:11:55,2018-02-21 12:56:55,87.0,9216.0,218.0,248.0,2018-02-21 12:56:22
9,2c36739bd6be4effb2d28dcf1da246cc.16,2,2018-02-21 13:04:05,2018-02-21 14:04:05,2018-02-21 14:49:05,302.0,8266.0,238.0,280.0,2018-02-21 14:34:47
10,2ec6849344d94a348d35933db85fccc9.16,3,2018-02-21 11:37:27,2018-02-21 12:37:27,2018-02-21 13:22:27,184.0,8989.0,241.0,39.0,2018-02-21 13:21:57
11,2f60c7bc597643e08041dabecc4a16a2.16,5,2018-02-21 14:28:44,2018-02-21 15:28:44,2018-02-21 16:13:44,,,,,2018-02-21 14:34:31
12,33fc9aa44c844314a85d60df2a1194d8.16,5,2018-02-21 13:35:17,2018-02-21 14:35:17,2018-02-21 15:20:17,384.0,45468.0,255.0,277.0,2018-02-21 14:33:53
13,355fa2dfe4274ca68cb8a8822aaac1a8.16,4,2018-02-20 15:08:44,2018-02-20 16:08:44,2018-02-20 16:53:44,160.0,27740.0,283.0,39.0,2018-02-20 16:53:31
14,38f2d91409bd4d01a2eb458673dcefe9.16,5,2018-02-21 12:26:46,2018-02-21 13:26:46,2018-02-21 14:11:46,384.0,45468.0,255.0,45.0,2018-02-21 14:09:43
15,3e7231af60ba4ba29a675c055406b46b.16,3,2018-02-20 20:26:15,2018-02-20 21:26:15,2018-02-20 22:11:15,184.0,8989.0,237.0,88.0,2018-02-20 22:11:15
16,40ac99e1bc6a420dbaf6722b2608dba5.16,3,2018-02-21 13:07:09,2018-02-21 14:07:09,2018-02-21 14:52:09,221.0,13663.0,244.0,254.0,2018-02-21 14:34:54
17,4175c939c96a46d8b326d7634292a226.16,5,2018-02-21 14:25:06,2018-02-21 15:25:06,2018-02-21 16:10:06,,,,,2018-02-21 14:34:21
18,49096f45a26e4e53938248cf6c37ad03.16,1,2018-02-21 11:35:34,2018-02-21 12:35:34,2018-02-21 13:20:34,320.0,3369.0,230.0,268.0,2018-02-21 13:20:34
19,52732cd64bf04752b8fee93c3b7e5a13.16,5,2018-02-21 10:21:19,2018-02-21 11:21:19,2018-02-21 12:06:19,384.0,45468.0,255.0,62.0,2018-02-21 12:06:12
20,52ac1cf211b24288addcde1a5f60897c.16,1,2018-02-21 11:17:20,2018-02-21 12:17:20,2018-02-21 13:02:20,320.0,3369.0,230.0,105.0,2018-02-21 13:02:14
21,56655857450a468ca7875eb35ac86ee2.16,1,2018-02-21 12:30:22,2018-02-21 13:30:22,2018-02-21 14:15:22,333.0,2766.0,263.0,45.0,2018-02-21 14:15:22
22,60e877cc2e2147b4be49f6e12478df3c.16,2,2018-02-21 12:21:58,2018-02-21 13:21:58,2018-02-21 14:06:58,302.0,8266.0,213.0,280.0,2018-02-21 14:06:57
23,72985951ba674deba9326ab9eda56760.16,2,2018-02-20 15:07:38,2018-02-20 16:07:38,2018-02-20 16:52:38,303.0,9403.0,202.0,20.0,2018-02-20 16:49:47
24,828db0e5a523405987aa8d6c4c247e0d.16,3,2018-02-21 08:03:41,2018-02-21 09:03:41,2018-02-21 09:48:41,68.0,18144.0,229.0,246.0,2018-02-21 09:48:16
25,8c2b38834cab46829b30c374a653eddc.16,1,2018-02-21 13:28:25,2018-02-21 14:28:25,2018-02-21 15:13:25,361.0,2825.0,264.0,111.0,2018-02-21 14:34:44
26,940fb99da7db4023bcbe9d98b2ff98cd.16,5,2018-02-21 13:41:08,2018-02-21 14:41:08,2018-02-21 15:26:08,,,,,2018-02-21 14:34:17
27,a418d8928bc942658c287c47a125adcf.16,1,2018-02-21 12:08:30,2018-02-21 13:08:30,2018-02-21 13:53:30,361.0,2825.0,244.0,111.0,2018-02-21 13:53:15
28,a95b698c72ec494e86b2cb8ebdcbf0c5.16,2,2018-02-21 12:07:13,2018-02-21 13:07:13,2018-02-21 13:52:13,302.0,8266.0,213.0,66.0,2018-02-21 13:52:12
29,adcc7f12b03445a9b3e10a01ca7e4ded.16,1,2018-02-21 11:17:38,2018-02-21 12:17:38,2018-02-21 13:02:38,361.0,2825.0,244.0,111.0,2018-02-21 13:01:24
30,b0bc2da4492948e9a63b374841c94882.11,5,2018-02-21 11:16:28,2018-02-21 12:16:28,2018-02-21 13:01:28,384.0,45468.0,255.0,62.0,2018-02-21 13:01:24
31,b80bbf223db04faa8b0122c45683942c.16,1,2018-02-21 10:17:06,2018-02-21 11:17:06,2018-02-21 12:02:06,129.0,1165.0,231.0,133.0,2018-02-21 12:02:07
